"strat_name","r_year","sc_gy_bbs"
"US-AR-25",1994,0.853171112479275
"US-AR-25",1995,1.39028940703426
"US-AR-25",1996,-1.43861611579696
"US-AR-25",1997,0.164252294197228
"US-AR-25",1998,-0.229607589414427
"US-AR-25",1999,0.405514618189127
"US-AR-25",2000,1.82509179334727
"US-AR-25",2001,-0.586273648444268
"US-AR-25",2002,0.340768809357179
"US-AR-25",2003,0.139016976538604
"US-AR-25",2004,1.33619668330342
"US-AR-25",2005,1.07954003941266
"US-AR-25",2006,0.517762294106269
"US-AR-25",2007,0.049582458685247
"US-AR-25",2008,0.341622194229406
"US-AR-25",2009,0.444294745883005
"US-AR-25",2010,0.5901082246987
"US-AR-25",2011,-0.715866124100444
"US-AR-25",2012,-0.24210432133691
"US-AR-25",2013,0.172543514705961
"US-AR-25",2014,0.831323036980285
"US-AR-25",2015,0.489061159272687
"US-AR-25",2016,0.737456026932519
"US-AR-25",2017,-0.0729350351294085
"US-AR-25",2018,0.611449711711161
"US-AR-25",2019,0.957077387534643
"US-AR-26",1970,-1.23302363910537
"US-AR-26",1971,-1.06540566335207
"US-AR-26",1972,-0.882564541557429
"US-AR-26",1973,-0.879830820021119
"US-AR-26",1974,-0.939695455617921
"US-AR-26",1975,-0.990131895019764
"US-AR-26",1976,-1.00572510002205
"US-AR-26",1977,-1.38503083974364
"US-AR-26",1978,-1.52972741789948
"US-AR-26",1979,-1.64381779282038
"US-AR-26",1980,-1.65338442460333
"US-AR-26",1981,-1.63814163861887
"US-AR-26",1982,-1.5215917641217
"US-AR-26",1983,-1.42185302617695
"US-AR-26",1984,-1.41270818291122
"US-AR-26",1985,-1.32941629309087
"US-AR-26",1986,-1.15981194401307
"US-AR-26",1987,-0.890673868889881
"US-AR-26",1988,-1.02054013890156
"US-AR-26",1989,-0.986644554650434
"US-AR-26",1990,-0.682638943340298
"US-AR-26",1991,-0.410427221661268
"US-AR-26",1992,-0.275360281995478
"US-AR-26",1993,-0.218959761017454
"US-AR-26",1994,-0.311288209151092
"US-AR-26",1995,-0.313056449702723
"US-AR-26",1996,-0.423475436292254
"US-AR-26",1997,-0.330092960611064
"US-AR-26",1998,-0.212700602301444
"US-AR-26",1999,0.0919791928533437
"US-AR-26",2000,0.138999471366443
"US-AR-26",2001,0.360465250539758
"US-AR-26",2002,0.608721091516477
"US-AR-26",2003,0.729732537562687
"US-AR-26",2004,1.05197730218097
"US-AR-26",2005,1.05071880799478
"US-AR-26",2006,1.27721340099826
"US-AR-26",2007,1.34410798408798
"US-AR-26",2008,1.16207654895482
"US-AR-26",2009,1.01059430527156
"US-AR-26",2010,0.768467204793358
"US-AR-26",2011,0.808012368597785
"US-AR-26",2012,0.879295912722725
"US-AR-26",2013,0.658406786672407
"US-AR-26",2014,0.540889791725815
"US-AR-26",2015,0.89701391853593
"US-AR-26",2016,1.07556863029473
"US-AR-26",2017,1.0141375205045
"US-AR-26",2018,1.07122777053647
"US-AR-26",2019,1.25224942992206
"US-CT-30",1970,-1.23292852551303
"US-CT-30",1971,-1.22737507683765
"US-CT-30",1972,-1.22085946793034
"US-CT-30",1973,-1.21609123861116
"US-CT-30",1974,-1.20694026416354
"US-CT-30",1975,-1.19111134326784
"US-CT-30",1976,-1.18487721834423
"US-CT-30",1977,-1.20053490898165
"US-CT-30",1978,-1.1833734331573
"US-CT-30",1979,-1.19258391655392
"US-CT-30",1980,-1.19101567046083
"US-CT-30",1981,-1.1680534535288
"US-CT-30",1982,-1.16696491576356
"US-CT-30",1983,-1.12161018464072
"US-CT-30",1984,-1.05922740348217
"US-CT-30",1985,-1.05221866258324
"US-CT-30",1986,-1.05156017977549
"US-CT-30",1987,-0.962837000854959
"US-CT-30",1988,-0.927422113231348
"US-CT-30",1989,-0.809149150978879
"US-CT-30",1990,-0.750177586348035
"US-CT-30",1991,-0.414665245708697
"US-CT-30",1992,-0.330953829213279
"US-CT-30",1993,-0.342090856866101
"US-CT-30",1994,-0.488295609117704
"US-CT-30",1995,-0.649918359487171
"US-CT-30",1996,-0.654795664962106
"US-CT-30",1997,-0.618791982347115
"US-CT-30",1998,-0.390189046859163
"US-CT-30",1999,-0.310614254675162
"US-CT-30",2000,0.295454284796974
