"strat_name","r_year","sc_trend_cbc"
"US-AR-24",2002,-0.95196415068609
"US-AR-24",2003,0.364989916189527
"US-AR-24",2004,0.0436410154111323
"US-AR-24",2005,0.0622237530725158
"US-AR-24",2006,1.43365705125511
"US-AR-24",2007,1.17309012737486
"US-AR-24",2008,0.386967691893656
"US-AR-24",2009,0.638299847652945
"US-AR-24",2010,0.724864787685766
"US-AR-24",2011,1.65847404846184
"US-AR-24",2012,1.14101761278019
"US-AR-24",2013,1.06970222463323
"US-AR-24",2014,1.36654121361675
"US-AR-24",2015,1.72829800144127
"US-AR-24",2016,0.754832039459164
"US-AR-24",2017,1.1634305909027
"US-AR-24",2018,0.296259936693606
"US-AR-24",2019,0.943201985769078
"US-AR-25",1970,-1.07840369197849
"US-AR-25",1971,-0.863234267649156
"US-AR-25",1972,-0.0576218255253948
"US-AR-25",1973,-0.275567702006395
"US-AR-25",1974,-0.411047199904193
"US-AR-25",1975,-0.105725727357765
"US-AR-25",1976,-0.742862553637221
"US-AR-25",1977,-0.505355950867626
"US-AR-25",1978,-1.47329568124719
"US-AR-25",1979,-1.72316260113625
"US-AR-25",1980,-1.59853924791486
"US-AR-25",1981,-1.91783902262489
"US-AR-25",1982,-1.55920434870278
"US-AR-25",1983,-0.374542414678462
"US-AR-25",1984,-1.43303106141327
"US-AR-25",1985,-0.81075003208608
"US-AR-25",1986,-1.26230748091369
"US-AR-25",1987,-0.287336417501248
"US-AR-25",1988,-0.0307397616389055
"US-AR-25",1989,-1.52123137870459
"US-AR-25",1990,-1.31249683199688
"US-AR-25",1991,0.311291421843497
"US-AR-25",1992,-0.328920530503613
"US-AR-25",1993,1.82522250089866
"US-AR-25",1994,0.80537846957654
"US-AR-25",1995,0.949811412208862
"US-AR-25",1996,0.600391520136501
"US-AR-25",1997,-0.391870758113332
"US-AR-25",1998,0.437368315585603
"US-AR-25",1999,0.908774254901295
"US-AR-25",2000,0.542271040535056
"US-AR-25",2001,-0.296390787908873
"US-AR-25",2002,0.808900924502144
"US-AR-25",2003,1.27522978826052
"US-AR-25",2004,0.704450903255839
"US-AR-25",2005,0.88324500602206
"US-AR-25",2006,0.547028665876524
"US-AR-25",2007,1.10526098911003
"US-AR-25",2008,0.166507498771578
"US-AR-25",2009,0.736948549185206
"US-AR-25",2010,0.379967951783129
"US-AR-25",2011,-0.0560004291310097
"US-AR-25",2012,-0.395359779435854
"US-AR-25",2013,0.404408416035161
"US-AR-25",2014,0.583021688451043
"US-AR-25",2015,1.59710846043472
"US-AR-25",2016,0.93695267421288
"US-AR-25",2017,1.49166181859315
"US-AR-25",2018,0.861151675197991
"US-AR-25",2019,1.95048353920002
"US-AR-26",1970,-1.52825721057071
"US-AR-26",1971,-0.882045523606306
"US-AR-26",1972,-0.623522663343082
"US-AR-26",1973,-0.759272143693388
"US-AR-26",1974,-0.68476131469872
"US-AR-26",1975,-0.844221442265013
"US-AR-26",1976,-1.01505304586721
"US-AR-26",1977,-0.639088738104305
"US-AR-26",1978,-1.53343674368168
"US-AR-26",1979,-0.989511513851934
"US-AR-26",1980,-0.980768078222434
"US-AR-26",1981,-1.29206422261038
"US-AR-26",1982,-1.19883603056216
"US-AR-26",1983,-0.341836631442378
"US-AR-26",1984,-0.98024039993642
"US-AR-26",1985,-0.911290067127163
"US-AR-26",1986,-1.07797994252199
"US-AR-26",1987,-0.644117248405989
"US-AR-26",1988,-0.799149325718804
"US-AR-26",1989,-0.799617096136079
"US-AR-26",1990,-0.799853641841681
"US-AR-26",1991,-0.278756895388158
"US-AR-26",1992,-0.134520939516063
"US-AR-26",1993,0.297001292585423
"US-AR-26",1994,0.0988350764940828
"US-AR-26",1995,-0.167328540321055
"US-AR-26",1996,-0.125050080117309
"US-AR-26",1997,-0.313852999303784
"US-AR-26",1998,0.164639940737491
"US-AR-26",1999,-0.232380689921661
"US-AR-26",2000,0.608378738123006
"US-AR-26",2001,0.534859974017581
"US-AR-26",2002,0.368585511858163
"US-AR-26",2003,0.6872852307327
"US-AR-26",2004,0.378475081349009
"US-AR-26",2005,0.902214351587998
"US-AR-26",2006,0.560588097057927
"US-AR-26",2007,1.84971410008105
"US-AR-26",2008,1.5662007855842
"US-AR-26",2009,0.692975463096491
"US-AR-26",2010,0.469604950460134
"US-AR-26",2011,0.445759246514369
"US-AR-26",2012,0.333632926973248
"US-AR-26",2013,0.847401548943632
"US-AR-26",2014,1.04369676014502
"US-AR-26",2015,1.45360940037588
"US-AR-26",2016,1.53136268526461
"US-AR-26",2017,0.847661624249012
"US-AR-26",2018,1.85579035741125
"US-AR-26",2019,3.03854002513357
"US-CT-30",1970,-1.11354102890355
"US-CT-30",1971,-1.11354881844248
"US-CT-30",1972,-1.10683197978871
"US-CT-30",1973,-1.11751460410761
"US-CT-30",1974,-1.08163921461884
"US-CT-30",1975,-0.976836991651066
"US-CT-30",1976,-1.02077740722464
"US-CT-30",1977,-1.05245054803325
"US-CT-30",1978,-1.0770115380071
"US-CT-30",1979,-1.07520125649332
"US-CT-30",1980,-1.03572148486831
"US-CT-30",1981,-0.980292185655886
"US-CT-30",1982,-0.955106051303803
"US-CT-30",1983,-0.983663657386032
"US-CT-30",1984,-0.897654920146918
"US-CT-30",1985,-0.888583752259758
"US-CT-30",1986,-0.804396513094949
"US-CT-30",1987,-0.782882479137313
"US-CT-30",1988,-0.714168550867068
"US-CT-30",1989,-0.626226650551664
"US-CT-30",1990,-0.366919407970581
"US-CT-30",1991,0.22093393254893
"US-CT-30",1992,0.607496428418546
"US-CT-30",1993,0.986260943640928
"US-CT-30",1994,0.407339423891321
"US-CT-30",1995,-0.385654212565809
"US-CT-30",1996,-0.68304609092601
"US-CT-30",1997,-0.711255109961362
"US-CT-30",1998,-0.610525353889617
"US-CT-30",1999,0.0447770946783887
"US-CT-30",2000,0.320462852039668
"US-CT-30",2001,0.0115468830685031
"US-CT-30",2002,0.792218425485885
"US-CT-30",2003,1.51352754225367
"US-CT-30",2004,0.759556674345154
"US-CT-30",2005,1.31423978576998
"US-CT-30",2006,0.881089223255676
"US-CT-30",2007,1.81182755874431
"US-CT-30",2008,1.38492098014711
"US-CT-30",2009,1.35684783491833
"US-CT-30",2010,0.599263199778324
"US-CT-30",2011,1.86873406735831
"US-CT-30",2012,0.336437629096888
"US-CT-30",2013,1.00138359844825
"US-CT-30",2014,1.56132657270013
"US-CT-30",2015,1.93815772271496
"US-CT-30",2016,-0.000399671042031795
"US-CT-30",2017,0.631439573979454
"US-CT-30",2018,0.550457682663828
"US-CT-30",2019,1.26160384895112
"US-DE-30",1970,-1.81573825131129
"US-DE-30",1971,-1.17029604797293
"US-DE-30",1972,-1.03275836344288
"US-DE-30",1973,-0.833460156398878
"US-DE-30",1974,-0.618366461333875
"US-DE-30",1975,-0.0739905061805843
"US-DE-30",1976,-0.647727423942015
"US-DE-30",1977,-0.633316432903448
"US-DE-30",1978,-1.66359293512202
"US-DE-30",1979,-1.60080241010743
"US-DE-30",1980,-1.44276924882324
"US-DE-30",1981,-1.25954675995138
"US-DE-30",1982,-1.4112730561176
"US-DE-30",1983,-1.09532573668786
"US-DE-30",1984,-1.16558416910528
"US-DE-30",1985,-0.404423649287865
"US-DE-30",1986,-0.724488055102143
"US-DE-30",1987,-0.179528980522312
"US-DE-30",1988,-0.431368327109731
"US-DE-30",1989,-0.262777624698641
"US-DE-30",1990,-0.214420733148564
"US-DE-30",1991,-0.130822000766692
"US-DE-30",1992,-0.0476097070015655
"US-DE-30",1993,1.29823771803039
"US-DE-30",1994,0.878746017571177
"US-DE-30",1995,0.345439418013768
"US-DE-30",1996,0.0926014488089973
"US-DE-30",1997,-0.616704808102995
"US-DE-30",1998,-0.831658038748851
"US-DE-30",1999,0.13816635037936
"US-DE-30",2000,0.389202020233935
"US-DE-30",2001,-0.117049359496422
"US-DE-30",2002,0.319178283301622
"US-DE-30",2003,0.595927817243558
"US-DE-30",2004,0.174722910706138
"US-DE-30",2005,1.76664176764387
"US-DE-30",2006,1.04335744685481
"US-DE-30",2007,0.824660041495694
"US-DE-30",2008,1.91319702833329
"US-DE-30",2009,1.33808212073851
"US-DE-30",2010,0.321223516154642
"US-DE-30",2011,0.434628380142749
"US-DE-30",2012,-0.327049409016671
"US-DE-30",2013,1.55047634187035
"US-DE-30",2014,1.24588361569712
"US-DE-30",2015,1.22269513121503
"US-DE-30",2016,0.89320704210026
"US-DE-30",2017,0.964952734266353
"US-DE-30",2018,1.39617146361022
"US-DE-30",2019,1.60505003799131
"US-FL-27",1970,-1.49077319571954
"US-FL-27",1971,-1.40860580872422
"US-FL-27",1972,-1.29347141259808
"US-FL-27",1973,-1.38894985170548
"US-FL-27",1974,-1.35193378723714
"US-FL-27",1975,-1.27753941549419
"US-FL-27",1976,-1.21236842112345
"US-FL-27",1977,-1.2458674794029
"US-FL-27",1978,-1.26731270121809
"US-FL-27",1979,-1.12661942737121
"US-FL-27",1980,-1.02103501673624
"US-FL-27",1981,-0.945105266336708
"US-FL-27",1982,-0.995289771595457
"US-FL-27",1983,-0.776237872723225
"US-FL-27",1984,-0.964594616672018
